"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-005","뚝섬2주차장","21955","2163922","2021/07"
"PLT-008","여의도4주차장","4855","1472191","2021/07"
"PLT-007","양화2주차장","1972","159333","2021/07"
"PLT-002","난지123주차장","53658","2665854","2021/07"
"PLT-004","이촌34주차장","32886","2563815","2021/07"
"PLT-008","여의도2주차장","31870","4307914","2021/07"
"PLT-008","여의도3주차장","29531","8493501","2021/07"
"PLT-011","잠실1234주차장","95166","5797471","2021/07"
"PLT-011","잠실1234주차장","95166","5797471","2021/07"
"PLT-008","여의도3주차장","29531","8493501","2021/07"
"PLT-003","망원1주차장","10756","848539","2021/07"
"PLT-002","난지123주차장","53658","2665854","2021/07"
"PLT-001","강서1주차장","7022","580497","2021/07"
"PLT-008","여의도4주차장","4855","1472191","2021/07"
"PLT-006","광나루3주차장","20074","1125137","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-005","뚝섬3주차장","11099","762744","2021/07"
"PLT-004","이촌2주차장","10790","727435","2021/07"
"PLT-008","여의도3주차장","29531","8493501","2021/07"
"PLT-011","잠실1234주차장","95166","5797471","2021/07"
"PLT-004","이촌1주차장","2904","204700","2021/07"
"PLT-007","양화1주차장","8651","848818","2021/07"
"PLT-003","망원1주차장","10756","848539","2021/07"
"PLT-008","여의도2주차장","31870","4307914","2021/07"
"PLT-004","이촌34주차장","32886","2563815","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-004","이촌1주차장","2904","204700","2021/07"
"PLT-007","양화1주차장","8651","848818","2021/07"
"PLT-007","양화2주차장","1972","159333","2021/07"
"PLT-008","여의도5주차장","8161","2760774","2021/07"
"PLT-009","반포1주차장","28667","1547621","2021/07"
"PLT-004","이촌2주차장","10790","727435","2021/07"
"PLT-008","여의도5주차장","8161","2760774","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-001","강서1주차장","7022","580497","2021/07"
"PLT-007","양화2주차장","1972","159333","2021/07"
"PLT-005","뚝섬4주차장","21425","1810836","2021/07"
"PLT-005","뚝섬2주차장","21955","2163922","2021/07"
"PLT-009","반포1주차장","28667","1547621","2021/07"
"PLT-003","망원23주차장","24367","1890853","2021/07"
"PLT-008","여의도5주차장","8161","2760774","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-009","반포23주차장","76464","5086143","2021/07"
"PLT-005","뚝섬3주차장","11099","762744","2021/07"
"PLT-004","이촌2주차장","10790","727435","2021/07"
"PLT-005","뚝섬3주차장","11099","762744","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-006","광나루3주차장","20074","1125137","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-005","뚝섬3주차장","11099","762744","2021/07"
"PLT-004","이촌2주차장","10790","727435","2021/07"
"PLT-009","반포1주차장","28667","1547621","2021/07"
"PLT-008","여의도4주차장","4855","1472191","2021/07"
"PLT-005","뚝섬1주차장","6818","577324","2021/07"
"PLT-005","뚝섬4주차장","21425","1810836","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-008","여의도5주차장","8161","2760774","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-001","강서1주차장","7022","580497","2021/07"
"PLT-004","이촌1주차장","2904","204700","2021/07"
"PLT-007","양화1주차장","8651","848818","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-006","광나루3주차장","20074","1125137","2021/07"
"PLT-007","양화345주차장","26855","1911093","2021/07"
"PLT-006","광나루12주차장","25049","1697010","2021/07"
"PLT-009","반포23주차장","76464","5086143","2021/07"
"PLT-006","광나루12주차장","25049","1697010","2021/07"
"PLT-006","광나루3주차장","20074","1125137","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-005","뚝섬3주차장","11099","762744","2021/07"
"PLT-004","이촌2주차장","10790","727435","2021/07"
"PLT-006","광나루3주차장","20074","1125137","2021/07"
"PLT-003","망원23주차장","24367","1890853","2021/07"
"PLT-002","난지123주차장","53658","2665854","2021/07"
"PLT-005","뚝섬2주차장","21955","2163922","2021/07"
"PLT-005","뚝섬4주차장","21425","1810836","2021/07"
"PLT-007","양화1주차장","8651","848818","2021/07"
"PLT-004","이촌1주차장","2904","204700","2021/07"
"PLT-001","강서1주차장","7022","580497","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-008","여의도5주차장","8161","2760774","2021/07"
"PLT-009","반포1주차장","28667","1547621","2021/07"
"PLT-006","광나루12주차장","25049","1697010","2021/07"
"PLT-007","양화345주차장","26855","1911093","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-006","광나루3주차장","20074","1125137","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-009","반포23주차장","76464","5086143","2021/07"
"PLT-003","망원23주차장","24367","1890853","2021/07"
"PLT-009","반포1주차장","28667","1547621","2021/07"
"PLT-008","여의도5주차장","8161","2760774","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-001","강서1주차장","7022","580497","2021/07"
"PLT-009","반포23주차장","76464","5086143","2021/07"
"PLT-009","반포1주차장","28667","1547621","2021/07"
"PLT-005","뚝섬1주차장","6818","577324","2021/07"
"PLT-008","여의도4주차장","4855","1472191","2021/07"
"PLT-007","양화2주차장","1972","159333","2021/07"
"PLT-004","이촌34주차장","32886","2563815","2021/07"
"PLT-008","여의도2주차장","31870","4307914","2021/07"
"PLT-005","뚝섬4주차장","21425","1810836","2021/07"
"PLT-005","뚝섬1주차장","6818","577324","2021/07"
"PLT-005","뚝섬4주차장","21425","1810836","2021/07"
"PLT-005","뚝섬1주차장","6818","577324","2021/07"
"PLT-008","여의도4주차장","4855","1472191","2021/07"
"PLT-005","뚝섬2주차장","21955","2163922","2021/07"
"PLT-004","이촌2주차장","10790","727435","2021/07"
"PLT-005","뚝섬3주차장","11099","762744","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-006","광나루3주차장","20074","1125137","2021/07"
"PLT-005","뚝섬3주차장","11099","762744","2021/07"
"PLT-003","망원1주차장","10756","848539","2021/07"
"PLT-007","양화2주차장","1972","159333","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-007","양화1주차장","8651","848818","2021/07"
"PLT-004","이촌1주차장","2904","204700","2021/07"
"PLT-007","양화2주차장","1972","159333","2021/07"
"PLT-005","뚝섬2주차장","21955","2163922","2021/07"
"PLT-001","강서1주차장","7022","580497","2021/07"
"PLT-008","여의도1주차장","71279","8158791","2021/07"
"PLT-008","여의도5주차장","8161","2760774","2021/07"
"PLT-001","강서1주차장","7022","580497","2021/07"
"PLT-011","잠실1234주차장","95166","5797471","2021/07"
"PLT-008","여의도3주차장","29531","8493501","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-006","광나루12주차장","25049","1697010","2021/07"
"PLT-007","양화345주차장","26855","1911093","2021/07"
"PLT-009","반포1주차장","28667","1547621","2021/07"
"PLT-004","이촌1주차장","2904","204700","2021/07"
"PLT-007","양화2주차장","1972","159333","2021/07"
"PLT-009","반포1주차장","28667","1547621","2021/07"
"PLT-005","뚝섬2주차장","21955","2163922","2021/07"
"PLT-003","망원23주차장","24367","1890853","2021/07"
"PLT-009","반포23주차장","76464","5086143","2021/07"
"PLT-003","망원23주차장","24367","1890853","2021/07"
"PLT-009","반포23주차장","76464","5086143","2021/07"
"PLT-006","광나루3주차장","20074","1125137","2021/07"
"PLT-007","양화345주차장","26855","1911093","2021/07"
"PLT-006","광나루12주차장","25049","1697010","2021/07"
"PLT-002","난지123주차장","53658","2665854","2021/07"
"PLT-010","잠원1-6주차장","98671","7570735","2021/07"
"PLT-005","뚝섬3주차장","11099","762744","2021/07"
"PLT-004","이촌2주차장","10790","727435","2021/07"
"PLT-004","이촌34주차장","38395","3181031","2021/06"
"PLT-009","반포23주차장","87378","6176758","2021/06"
"PLT-003","망원1주차장","12790","1042479","2021/06"
"PLT-006","광나루12주차장","29201","2190760","2021/06"
"PLT-005","뚝섬3주차장","15752","1344414","2021/06"
"PLT-008","여의도3주차장","40185","9846576","2021/06"
"PLT-006","광나루3주차장","24753","1458678","2021/06"
"PLT-007","양화1주차장","13461","1031430","2021/06"
"PLT-011","잠실1234주차장","107297","7115483","2021/06"
"PLT-005","뚝섬4주차장","23439","2107248","2021/06"
"PLT-009","반포1주차장","36741","2285985","2021/06"
"PLT-008","여의도5주차장","8666","2744560","2021/06"
"PLT-007","양화2주차장","2659","234924","2021/06"
"PLT-010","잠원1-6주차장","118150","9364783","2021/06"
"PLT-004","이촌34주차장","38395","3181031","2021/06"
"PLT-002","난지123주차장","62742","3921963","2021/06"
"PLT-004","이촌2주차장","11891","932300","2021/06"
"PLT-001","강서1주차장","7408","707438","2021/06"
"PLT-003","망원23주차장","27013","2442108","2021/06"
"PLT-005","뚝섬2주차장","31934","3398504","2021/06"
"PLT-008","여의도2주차장","44445","5348214","2021/06"
"PLT-008","여의도2주차장","44445","5348214","2021/06"
"PLT-005","뚝섬2주차장","31934","3398504","2021/06"
"PLT-003","망원23주차장","27013","2442108","2021/06"
"PLT-001","강서1주차장","7408","707438","2021/06"
"PLT-009","반포1주차장","36741","2285985","2021/06"
"PLT-005","뚝섬4주차장","23439","2107248","2021/06"
"PLT-004","이촌1주차장","3725","196355","2021/06"
"PLT-007","양화345주차장","36734","2867495","2021/06"
"PLT-005","뚝섬1주차장","8647","766399","2021/06"
"PLT-004","이촌2주차장","11891","932300","2021/06"
"PLT-002","난지123주차장","62742","3921963","2021/06"
"PLT-004","이촌34주차장","38395","3181031","2021/06"
"PLT-009","반포1주차장","36741","2285985","2021/06"
"PLT-005","뚝섬4주차장","23439","2107248","2021/06"
"PLT-008","여의도4주차장","5424","1677321","2021/06"
"PLT-008","여의도1주차장","92711","10640696","2021/06"
"PLT-008","여의도1주차장","92711","10640696","2021/06"
"PLT-008","여의도4주차장","5424","1677321","2021/06"
"PLT-010","잠원1-6주차장","118150","9364783","2021/06"
"PLT-007","양화2주차장","2659","234924","2021/06"
"PLT-008","여의도5주차장","8666","2744560","2021/06"
"PLT-008","여의도3주차장","40185","9846576","2021/06"
"PLT-011","잠실1234주차장","107297","7115483","2021/06"
"PLT-007","양화1주차장","13461","1031430","2021/06"
"PLT-006","광나루3주차장","24753","1458678","2021/06"
"PLT-009","반포23주차장","87378","6176758","2021/06"
"PLT-003","망원1주차장","12790","1042479","2021/06"
"PLT-006","광나루12주차장","29201","2190760","2021/06"
"PLT-005","뚝섬3주차장","15752","1344414","2021/06"
"PLT-006","광나루3주차장","24753","1458678","2021/06"
"PLT-007","양화1주차장","13461","1031430","2021/06"
"PLT-011","잠실1234주차장","107297","7115483","2021/06"
"PLT-005","뚝섬3주차장","15752","1344414","2021/06"
"PLT-006","광나루12주차장","29201","2190760","2021/06"
"PLT-003","망원1주차장","12790","1042479","2021/06"
"PLT-009","반포23주차장","87378","6176758","2021/06"
"PLT-004","이촌34주차장","38395","3181031","2021/06"
"PLT-002","난지123주차장","62742","3921963","2021/06"
"PLT-008","여의도2주차장","44445","5348214","2021/06"
"PLT-008","여의도2주차장","44445","5348214","2021/06"
"PLT-005","뚝섬2주차장","31934","3398504","2021/06"
"PLT-003","망원23주차장","27013","2442108","2021/06"
"PLT-001","강서1주차장","7408","707438","2021/06"
"PLT-009","반포1주차장","36741","2285985","2021/06"
"PLT-005","뚝섬2주차장","31934","3398504","2021/06"
"PLT-003","망원23주차장","27013","2442108","2021/06"
"PLT-001","강서1주차장","7408","707438","2021/06"
"PLT-008","여의도3주차장","40185","9846576","2021/06"
"PLT-008","여의도5주차장","8666","2744560","2021/06"
"PLT-007","양화2주차장","2659","234924","2021/06"
"PLT-010","잠원1-6주차장","118150","9364783","2021/06"
"PLT-005","뚝섬4주차장","23439","2107248","2021/06"
"PLT-004","이촌2주차장","11891","932300","2021/06"
"PLT-005","뚝섬4주차장","23439","2107248","2021/06"
"PLT-009","반포1주차장","36741","2285985","2021/06"
"PLT-005","뚝섬1주차장","8647","766399","2021/06"
"PLT-007","양화345주차장","36734","2867495","2021/06"
"PLT-004","이촌1주차장","3725","196355","2021/06"
"PLT-004","이촌1주차장","3725","196355","2021/06"
"PLT-007","양화345주차장","36734","2867495","2021/06"
"PLT-005","뚝섬1주차장","8647","766399","2021/06"
"PLT-004","이촌2주차장","11891","932300","2021/06"
"PLT-008","여의도4주차장","5424","1677321","2021/06"
"PLT-008","여의도1주차장","92711","10640696","2021/06"
"PLT-011","잠실1234주차장","107297","7115483","2021/06"
"PLT-007","양화1주차장","13461","1031430","2021/06"
"PLT-006","광나루3주차장","24753","1458678","2021/06"
"PLT-009","반포1주차장","36741","2285985","2021/06"
"PLT-005","뚝섬4주차장","23439","2107248","2021/06"
"PLT-002","난지123주차장","62742","3921963","2021/06"
"PLT-004","이촌34주차장","38395","3181031","2021/06"
"PLT-004","이촌1주차장","3725","196355","2021/06"
"PLT-007","양화345주차장","36734","2867495","2021/06"
"PLT-005","뚝섬1주차장","8647","766399","2021/06"
"PLT-004","이촌2주차장","11891","932300","2021/06"
"PLT-006","광나루3주차장","24753","1458678","2021/06"
"PLT-005","뚝섬3주차장","15752","1344414","2021/06"
"PLT-006","광나루12주차장","29201","2190760","2021/06"
"PLT-003","망원1주차장","12790","1042479","2021/06"
"PLT-009","반포23주차장","87378","6176758","2021/06"
"PLT-008","여의도4주차장","5424","1677321","2021/06"
"PLT-008","여의도1주차장","92711","10640696","2021/06"
"PLT-010","잠원1-6주차장","118150","9364783","2021/06"
"PLT-007","양화2주차장","2659","234924","2021/06"
"PLT-008","여의도5주차장","8666","2744560","2021/06"
"PLT-008","여의도3주차장","40185","9846576","2021/06"
"PLT-009","반포23주차장","87378","6176758","2021/06"
"PLT-003","망원1주차장","12790","1042479","2021/06"
"PLT-006","광나루12주차장","29201","2190760","2021/06"
"PLT-008","여의도3주차장","40185","9846576","2021/06"
"PLT-008","여의도5주차장","8666","2744560","2021/06"
"PLT-007","양화2주차장","2659","234924","2021/06"
"PLT-010","잠원1-6주차장","118150","9364783","2021/06"
"PLT-005","뚝섬3주차장","15752","1344414","2021/06"
"PLT-006","광나루3주차장","24753","1458678","2021/06"
"PLT-007","양화1주차장","13461","1031430","2021/06"
"PLT-011","잠실1234주차장","107297","7115483","2021/06"
"PLT-006","광나루3주차장","24753","1458678","2021/06"
"PLT-007","양화1주차장","13461","1031430","2021/06"
"PLT-011","잠실1234주차장","107297","7115483","2021/06"
"PLT-007","양화1주차장","13461","1031430","2021/06"
"PLT-006","광나루3주차장","24753","1458678","2021/06"
"PLT-008","여의도1주차장","92711","10640696","2021/06"
"PLT-008","여의도4주차장","5424","1677321","2021/06"
"PLT-004","이촌34주차장","38395","3181031","2021/06"
"PLT-002","난지123주차장","62742","3921963","2021/06"
"PLT-011","잠실1234주차장","107297","7115483","2021/06"
"PLT-004","이촌2주차장","11891","932300","2021/06"
"PLT-005","뚝섬1주차장","8647","766399","2021/06"
"PLT-007","양화345주차장","36734","2867495","2021/06"
"PLT-004","이촌1주차장","3725","196355","2021/06"
"PLT-008","여의도2주차장","44445","5348214","2021/06"
